https://quizlet.com/gb/356316789/mastering-arabic-2-unit-11-flash-cards/
مُناخ	Climate
مَطَر، أمطار	Rain
ثَلج، ثُلوج	Snow
سَحابة، سُحُب	Cloud
ريح، رِياح	Wind
عاصِفة، عَواصِف	Storm
ضَباب	Fog
اِتِّجاه (ات)	Direction
سُرعة (ات)	Speed
جوّ، أجواء	Atmosphere, weather
الربيع	Spring
الخَريف	Autumn
ساحِل، سَواحِل	Coast
شاطِئ، شَواطِئ	Beach
صَحراء	Desert
بُحَيرة	Lake
آلة (ات)	Machine, instrument
طاقة (ات)	Power, energy
تَلَوُّث	Pollution
مَشروع (ات)	Project, scheme
أنبوبة، أنابيب	Pipe, tube
قُطر، أقطار	Diameter, section
طول، أطوال	Height, length
مِتر، أمتار	Metre
كيلومِتر	Kilometre
مُشمِس	Sunny
مُمطِر	Rainy
مُثلِج	Snowy
جافّ	Dry
كَثيف	Thick
صِناعيّ	Man-made
ضَخم	Huge
تَعبان	Tired
رَأَى، يَرَى	See
تَراوَحَ، يَتَراوَح	Vary
اِقتَصَدَ، يَقتَصِد في	Conserve, save
أوقَفَ، يُوقِف	Stop, prevent
اِستَخرَجَ، يَستَخرِج	Extract
نَقَلَ، يَنقُل	Transport
تَغَيُر المُناخ	Climate change
النَشرة الجَويّة	Weather forecast
إعادة تَدوير	Recycling
صَديق للبيئة	Environmentally friendly
مَنعاً ل....	Preventing, avoiding
خير	goodness / may it be good
عن طريق	by way of, by means of
حَرام	forbidden; sacred, holy. /poor you
بَلد، بِلَاد ، بُلدَان	Country, country, countries
ثَقافَة	culture
كَارِثَة ، كَوَارِث	Disaster (s)
كَارِثَة طَبِيْعِيَّة	Natural disaster
خصوصاً	especially, particularly
