https://quizlet.com/263073621/mastering-arabic-2-unit-2-nouns-flash-cards/
دار (دِيار/دور)، مَنزِل (مَنازِل)	House(s)/home(s)
مَسكَن (مَساكِن)	House(s)/residence(s)
مَوقع (مَواقِع)	Location(s)
عِمارة (عِمارات)	Apartment building(s)
طابِق (طَوابِق)	Floor(s)/storey(s)
مَدخَل (مَداخِل)	Entrance(s)
صالة (صالات)	Hall(s)
سُلَّم (سُلالِم)	Stairs
سَطح (سُطوح)	Roof(s)
غُرفة (غُرَف)	Room(s)
غُرفة نَوْم	Bedroom
غُرفة مَعِيشَة	Living room
غُرفة جُلوس	Sitting room
سُفرة (سُفرات)	Dining room(s)
مَطبَخ (مَطابِخ)	Kitchen(s)
حَمام (حَمامات)	Bathroom(s)
دَورة مِياه (دَورات مِياه)	Toilet(s)
شُرفة (شُرفات)	Balcony (balconies)
جَراج (جَراجات)	Garage(s)
سِرداب (سِراديب)	Cellar(s)
حَديقة (حَدائِق)	Garden(s)
مِرآة (مِرات)	Mirror(s)
مِصعَد (مَصاعِد)	Lift(s)
غَسالة (غَسالات)	Washing machine(s)
حَوض (أحواض)	Sink(s)
كَنَبة (كنبات)، أريكة (أَرائِك)	Sofa(s)
ثَلاجة (ثَلاجات)	Fridge(s)
فُرن (أفران)	Cooker(s)
سَتائِر	Curtains
دُش	Shower
سَجاد	Carpets
عُشب	Grass/plants
ورد	Flowers
مُدخِّن (مُدخِّنون/ين)	Smoker(s)
حَمّام السِباحة	Swimming pool
مَلعَب تَنِس	Tennis court
تَكييف هَواء	Air-conditioning
سَاكِن (سُكَّان)	Resident(s)
رُخام	Marble
شاطِئ (شَواطِئ)	Beach
ريف	Countryside
مَنظَر (مَناظِر)	View(s)
حَقل (حُقول)	Field(s)
باحة (باحات)	Courtyard(s)
نافورة (نافورات)	Fountain(s)
خَزن	Storage
هاتِف (هَواتِف)	Phone(s)
هاتِف محمول	Mobile phone(s)
