https://quizlet.com/269185178/mastering-arabic-2-unit-4-nouns-flash-cards/
تَرفيه	Leisure
وَقت الفِراغ	Free time
نَشاط (أنشِطة)	Activity (activities)
هِواية (هِوايات)	Hobby (hobbies)
صِحّة	Health
كُرة (كُرات)	Ball(s)
كُرة القَدَم	Football (soccer)
كُرة السَلّة	Basketball
كُرة اليَد	Handball
الكُرة الطائِرة	Volleyball
تنس	Tennis
تنس الطاوِلة	Table tennis (Ping-Pong)
سِباحة	Swimming
ألعاب القُوَى	Athletics
تدريب	Training
مُلاكَمة	Boxing
إسكواش	Squash
جودو	Judo
جولف	Golf
رُكُوب الخيل	Horse riding
صَيد السمك	Fishing
تَصوير	Photography
لاعِب	Player
عَدّاء (عَدّاؤون/عَدّائين)	Runner(s)
مُلاكِم (مُلاكِمون/ين)	Boxer(s)
مُدَرِّب (مُدَرِّبون/ين)	Coach(s)/trainer(s)
فَنان (فنانون/ين)	Artist(s)
مكتبة (مكتبات)	Library (libraries)
مَركَز (مَراكِز)	Centre(s)
حَديقة (حَدائِق)	Park(s)
نادي (نَوادٍ)	Club(s)
إتِّحاد (إتحادات)	Union(s)/association(s)
مَعرِض (مَعارِض)	Show(s)/exhibition(s)
رُزنامة (رُزنامات)	Calendar(s)/schedule(s)
فَنّ (فُنون)	Art(s)
طَائِر (طُيور)	Bird(s)
مَبلَغ (مَبالِغ)	Sum(s) of money
إتِّفاق (إتَّفاقات)	Agreement(s)
عُنف	Violence
