https://quizlet.com/296878976/mastering-arabic-2-unit-13-flash-cards/
رِواية (ات)	Novel
مَسرَحِيّة (ات)	Play
شِعْر، أشعار	Poetry
أُغنِية، أغانٍ	Song
أُوبرا	Opera
رَقص	Dance
مُؤلِّف (ون، ين)	Writer, composer
مُخرِج (ون، ين)	Director
شاعِر، شُعَراء	Poet
موسيقيّ (ون، ين)	Musician
راقِص (ون، ين)	Dancer
بَطَل، أبطال	Hero
عُضو، أعضاء	Member (of family, club, etc)
مَجموعة (ات)	Group
رُعب	Horror
شَبَح، أشباح	Ghost
حَرب، حُروب	War
مَعرَكة، مَعارِك	Battle
جَيش، جُيوش	Army
جُنديّ، جُنود	Soldier
نار، نيران	Fire
حَدَث، أحداث	Event
تأثير (ات)	Effect
غياب	Absence
إيقاع	Pace, rhythm
نقد	Criticism, review
قَرن، قُرون	Century
كَوكَب، كَواكِب	Planet
أسد، أُسود	Lion
سَنّارة (ات)	Fishing rods
غَراميّ	Romantic
تاريخيّ	Historical
كوميدية،هَزليّ	Comic
تَسجيليّ	Documentary
مُؤَثِّر	Moving, affecting
مَجهول	Unknown
صَعب الفَهم	Difficult to understand
نافِع	Useful
جائِع	Hungry
ضائِع	Lost
دارَ، يَدور حَول	Concern, be about
أتَى، يَأتي	Come
مَرَّ، يمُرّ (فوق)	Pass (over)
غَرِقَ، يَغرَق	Drown
واجَهَ، يُواجِه	Face, confront
من تَأليف	Written by
من بُطولة	Starring
أغاني الشَباب	Pop songs
الخَيال العِلمي	Science fiction
رَبّ الأُسرة	Head of the family
الحرب العالمية الثانية	Second World War
إلى أن	Until (+ verb)
