https://quizlet.com/209797649/mastering-arabic-2-unit-10-flash-cards/
خبر، أخبار	News item, news
وَسائِل الإعلام	Media
إذاعة	Broadcasting
بَثّ	Transmission
تَغطية	Coverage
تَحليل	Analysis
قَناة، قَنَوات	Channel
عُنوان، عَناوين	Headline
عامود، عَواميد	Column
مَوضوع، مَواضيع	Topic
مَصدَر، مَصادِر	Source
إعادة (ات)	Repeat
مُذيع (ون/ين)	Broadcaster
رَئيس (رُؤساء) التَحرير	Editor
مُستَمع	Listener
مُشاهِد	Viewer
السِياسة	Politics
المال	Finance
المُجتَمَع	Society
التَكنولوجيا	Technology
نِسبة	Proportion, percentage
مُناخ	Climate
خَسارة	Defeat
نَجاح	Success
اِرتِفاع	Increase
فائِدة، فَوائِد	Interest, benefit
قانون، قَوانين	Law, statute
طَلاق	Divorce
تَوَتُّر	Stress, tension
اِحتِياج	Need, requirement
اِنفِجار	Explosion
تَجرِبة، تَجارِب	Experiment, test
الكولسترول	Cholesterol
المُرور	Traffic
هِجرة	Immigration
تَضَخُّم	Inflation
مُكافَحة	Curbing
نَصر	Victory
رِماية	Shooting
اِكتِشاف (ات)	Discovery
عِلاج	Cure
حاسوب	Computer
مُدَوَّنة	Blog, journal
مُنتَدىً، مُنَتَدَيات	Forum
مُساهَمة	Participation
اِستئجار	Rental, renting
تَسويق	Marketing
مَهرَجان (ات)	Festival, carnival
زائِر، زُوَّار	Visitors
الخليج	The Gulf
دُوَليّ	International
مَحَّليّ	Local
أرضيّ	Terrestrial
فَضائيّ	Satellite (adj)
يومي	Daily
أُسبوعي	Weekly
حَيّ	Live (adj)
مُناشِر	Direct
مُسَجَّل	Recorded
تَفاعُلي	Interactive
شَعبيّ	Popular, public
مُنَكِّر	Early
صامِت	Silent
عَميق	Deep, profound
مُتاح	Available
غَطَّى، يُغَطِّي	Cover
قارَنَ، يُقارِن	Compare
صَوَّتَ، يُصَوِّت	Vote
حَدَّ، يَحِدّ	Limit
تَعَرَّف، يَتَعَرَّف على	Explore, study
مالَ، يَميل (نحو)	Incline (towards)
اِحتَفَلَ، يَحتَفِل	Celebrate
شَجَّعَ، يُشَجِّع	Encourage
الاِنفِجار العَظيم	The Big Bang
حَرب الخليج	The Gulf War
مَرَّة أُخرَى	Again
موجَز الأخبار	News summary
الشَبَكة العالمية	Worldwide Web
بَدأ أن	It seemed that
بفضل	Thanks to
نوع	Type
