https://quizlet.com/263074299/mastering-arabic-2-unit-2-adjectivesother-flash-cards/
حَديث	Modern
تَقليديّ	Traditional
هادِئ	Quiet
مُزدَحِم	Crowded
واسِع	Spacious
فاخِر	Luxurious
بَسيط	Simple/basic
مُريح	Comfortable
مُناسِب	Suitable
خاص	Private
مَمنوع	Forbidden
تَكَوَّن، يَتَكَوَّن من	Consist of
أَطَلَّ، يُطِلّ على	Look onto
تَوَجّهَ، يَتَوَجّه (نَحْو)	Face towards
إختَلَف، يَختَلِف	Vary
الطابِق الأرضيّ	Ground floor
الطابق الأوّل	First floor
يوجَد، توجَد	Can be found
يُستَخدَم، تُستَخدَم	Is used
لِلإيجار	For rent
بِطِراز	In the style of.....
في النهار	In the daytime
أمّا	As for
لِذالِك	For that reason
غَير	Non-/not
