https://quizlet.com/gb/355482338/mastering-arabic-2-unit-10-flash-cards/
خبر، أخبار	News item, news
وَسائِل الإعلام	Media
تَحليل	Analysis
قَناة، قَنَوات	Channel
عُنوان، عَناوين	Headline
مَوضوع، مَواضيع	Topic
مَصدَر، مَصادِر	Source
إعادة	Repeat /make come back
مُستَمع	Listener
مُشاهِد	Viewer
السِياسة	Politics
المال	Finance
المُجتَمَع	Society
التَكنولوجيا	Technology
نِسبة	Proportion, percentage
مُناخ	Climate
خَسارة	Defeat
نَجاح	Success
فائِدة، فَوائِد	Interest, benefit
قانون، قَوانين	Law, statute
طَلاق	Divorce
تَوَتُّر	Stress, tension
اِحتِياج	Need, requirement
تَفجيد (ات)	Explosion
تَجرِبة، تَجارِب	Experiment, test
الكولسترول	Cholesterol
المُرور	Traffic
هِجرة	Immigration
تَضَخُّم	Inflation
نَصر	Victory
عِلاج	Cure
اِستئجار	Rental, renting
زائِر، زُوَّار	Visitor
تَغطية	covering; (news) coverage
الخليج	The Gulf
دُوَليّ	International
مَحَّليّ	Local
يومي	Daily
أُسبوعي	Weekly
حَيّ	Live (adj)
مُباشِر	Direct
شَعبيّ	Popular, public
مُبَكِّر	early
صامِت	Silent
عَميق	Deep, profound
مُتاح	Available
صَوَّتَ، يُصَوِّت	Vote
حَدَّ، يَحِدّ	Limit
مالَ، يَميل (نحو/ إلى)	Incline
اِحتَفَلَ، يَحتَفِل	Celebrate
شَجَّعَ، يُشَجِّع	Encourage
مَرَّة أُخرَى	Again
موجَز الأخبار	News summary
بَدا أن	It seemed that
بفضل	Thanks to
من جديد	again, anew
آخَر/ أُخْرَى (f)	Another
الحَدود	border
بَثّ	transmission, broadcast; dissemination, spreading
مرة (ج) مرات	once, one time, a time, an instance
ضِعف أضعاف	Twice / two fold / fold
اِرتَفَعَ،. يرًتفع، اِرتِفاع	to rise, ascend; to increase, grow
اِنخفض، ينخفض، اِنخِفاض	To decrease
