https://quizlet.com/269175534/mastering-arabic-2-unit-4-flash-cards/
تَرفيه	Leisure
وَقت الفِراغ	Free time
نَشاط (أنشِطة)	Activity (activities)
هِواية (هِوايات)	Hobby (hobbies)
صِحّة	Health
كُرة (كُرات)	Ball(s)
كُرة القَدَم	Football (soccer)
كُرة السَلّة	Basketball
كُرة اليَد	Handball
الكُرة الطائِرة	Volleyball
تنس	Tennis
تنس الطاوِلة	Table tennis (Ping-Pong)
سِباحة	Swimming
ألعاب القُوَى	Athletics
تدريب	Training
مُلاكَمة	Boxing
إسكواش	Squash
جودو	Judo
جولف	Golf
رُكُوب الخيل	Horse riding
صَيد السمك	Fishing
تَصوير	Photography
لاعِب	Player
عَدّاء (عَدّاؤون/عَدّائين)	Runner(s)
مُلاكِم (مُلاكِمون/ين)	Boxer(s)
مُدَرِّب (مُدَرِّبون/ين)	Coach(s)/trainer(s)
فَنان (فنانون/ين)	Artist(s)
مكتبة (مكتبات)	Library (libraries)
مَركَز (مَراكِز)	Centre(s)
حَديقة (حَدائِق)	Park(s)
نادي (نَوادٍ)	Club(s)
إتِّحاد (إتحادات)	Union(s)/association(s)
مَعرِض (مَعارِض)	Show(s)/exhibition(s)
رُزنامة (رُزنامات)	Calendar(s)/schedule(s)
فَنّ (فُنون)	Art(s)
طَائِر (طُيور)	Bird(s)
مَبلَغ (مَبالِغ)	Sum(s) of money
إتِّفاق (إتَّفاقات)	Agreement(s)
عُنف	Violence
مُفيد	Beneficial/useful
فَرديّ	Individual
جَماعيّ	Team/collective
مُثير	Exciting/moving
مُمِلّ	Boring
مُمتِع	Enjoyable
مُسَلٍّ	Entertaining
مُفَضَّل	Favourite
مَشغول	Busy/occupied
آسِف	Sorry
مُمتاز	Excellent
أحَبَّ، يُحِبّ	Like
فَضَّلَ، يُفَضِّل	Prefer
كَرِهَ، يَكرَه	Hate
شاهَدَ، يُشاهِد	Watch/view
دَرَّبَ، يُدَرِّب	Train/coach
صَوَّرَ، يُصَوِّر	Photograph
خَيَّمَ، يُخَيِّم	Camp
رَكِبَ، يَركَب	Ride
أرسَلَ، يُرسِل	Send
اِلتَقَى، يَلتَقي	Meet
اِستَطاعَ، يَستَطيع	Be able to/can
ناسَبَ، يُناسِب	Suit
دَعَمَ، يَدعَم	Support
وَقَّعَ، يُوقِّع	Sign
لا أهتَمّ ب.....	I'm not interested in
بِسَبَب	Due to
لا فائِدة منه/منها	No point to it
فِكرة جَيِّدة	Good idea
سَيُشَرِّفني	I'd be honoured
كَما أنّ	And also/just as
ما يُعادِل	Equivalent to
